,name,price,rating,features
29,Noise ColorFit Vision 2 Buzz Smartwatch,"₹1,099",55,"Bluetooth 5.3, Bluetooth Calling, 1.78 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
30,Fastrack VOX CirQ Smartwatch,"₹1,799",,"Bluetooth, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
31,Fastrack VOX Neo Smartwatch,"₹1,999",,"Bluetooth, Bluetooth Calling, 1.91 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
32,Apple Watch Series 11 Titanium 46mm,"₹84,990",,"Wi-Fi, Bluetooth 5.3, GPS, 3G, 4G, VoLTE, Voice Calling, 64 GB Inbuilt, 1.89 inches Touch Display, Water Resistant, 50 m, Dust Proof, Heart Rate Monitor"
33,Apple Watch Series 11 42mm (GPS + Cellular),"₹56,900",,"Wi-Fi, Bluetooth 5.3, GPS, 3G, 4G, VoLTE, Voice Calling, 64 GB Inbuilt, 1.53 inches Touch Display, Water Resistant, 50 m, Dust Proof, Heart Rate Monitor"
34,Apple Watch Series 11 46mm GPS,"₹49,900",,"Wi-Fi, Bluetooth 5.3, GPS, Bluetooth Calling, 64 GB Inbuilt, 1.89 inches Touch Display, Water Resistant, 50 m, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
35,Apple Watch SE 3 44mm (GPS + Cellular),"₹33,900",,"Wi-Fi, Bluetooth 5.3, GPS, 3G, 4G, VoLTE, Voice Calling, 64 GB Inbuilt, 1.51 inches Touch Display, Water Resistant, 50 m, Scratch Resistant, Heart Rate Monitor"
36,Apple Watch SE 3 44mm GPS,"₹28,900",77,"Wi-Fi, Bluetooth 5.3, GPS, Bluetooth Calling, 64 GB Inbuilt, 1.51 inches Touch Display, Water Resistant, 50 m, Scratch Resistant, Heart Rate Monitor, Altimeter, Pedometer, Sleep Monitor, Step Count"
37,boAt Valour Watch 1 GPS Smartwatch,"₹5,999",64,"Bluetooth 5.3, GPS, 4G, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, 30 m, 3 ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
38,boAt Storm Infinity Max Smartwatch,"₹1,699",54,"Bluetooth 5.0, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 20 days Battery"
39,Amazfit Balance 2 Smartwatch,"₹24,999",,"Wi-Fi, Bluetooth 5.2, GPS, NFC, Bluetooth Calling, 1.5 inches Touch Display, Water Resistant, 100 m, 100 ATM, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
40,Apple Watch Series 11 46mm (GPS + Cellular),"₹59,900",,"Wi-Fi, Bluetooth 5.3, GPS, 3G, 4G, VoLTE, Voice Calling, 64 GB Inbuilt, 1.89 inches Touch Display, Water Resistant, 50 m, Dust Proof, Heart Rate Monitor"
41,boAt Storm Infinity Plus Smartwatch,"₹1,149",51,"Bluetooth 5.0, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 20 days Battery"
42,Fire Boltt Brillia Pro Smartwatch,"₹1,899",54,"Bluetooth 5.2, Bluetooth Calling, 2.02 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
43,Boult Trail Pro Smartwatch,"₹1,599",57,"Bluetooth 5.3, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
44,OnePlus Watch 3R,"₹1,899",51,"Bluetooth 5.3, Bluetooth Calling, 1.46 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
45,boAt Enigma Daze Smartwatch,"₹1,599",52,"Bluetooth, Bluetooth Calling, 1.3 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
46,Samsung Galaxy Watch 8,"₹30,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Bluetooth Calling, 2 GB RAM, 32 GB Inbuilt, 1.34 inches Touch Display, Water Resistant, 100 m, 5ATM + IP68 / MIL-STD-810H, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
47,boAt Lunar Discovery Smartwatch,"₹1,199",50,"Bluetooth 5.3, Bluetooth Calling, 1.39 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
48,PunnkFunnk EVO Vista Smartwatch,"₹1,329",58,"Bluetooth 4.0, Bluetooth Calling, 1 GB RAM, 1 GB Inbuilt, 1.3 inches Touch Display, Water Resistant, IP667, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
49,Fire Boltt Obsidian Smartwatch,"₹2,099",57,"Bluetooth 5.0, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, 1 m, IP67, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
50,Titan Celestor Smartwatch,"₹7,684",55,"Bluetooth, GPS, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
51,Samsung Galaxy Watch Ultra,"₹38,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 32 GB Inbuilt, 1.47 inches Touch Display, Water Resistant, 100 m, IP68, 10ATM, Scratch Resistant, Dust Proof, Heart Rate Monitor"
52,OnePlus Watch 3,"₹30,999",,"Wi-Fi, Bluetooth 5.2, GPS, NFC, Bluetooth Calling, 3 GB RAM, 32 GB Inbuilt, 1.5 inches Touch Display, Water Resistant, 50 m, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
53,Noise NoiseFit Twist Go Smartwatch,"₹1,399",,"Bluetooth 5.3, Bluetooth Calling, 1.39 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
54,Noise NoiseFit Endeavour Smartwatch,"₹3,179",52,"Bluetooth 5.3, Bluetooth Calling, 1.46 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
55,OnePlus Watch 2,"₹18,034",,"Wi-Fi, Bluetooth 5.0, GPS, NFC, Bluetooth Calling, 2 GB RAM, 32 GB Inbuilt, 1.43 inches Touch Display, Water Resistant, 50 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
56,Noise ColorFit Caliber 3 Plus Smartwatch,"₹1,199",52,"Bluetooth 5.3, Bluetooth Calling, 1.96 inches Touch Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
57,Apple Watch Ultra 2,"₹78,900",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 64 GB Inbuilt, 1.93 inches Touch Display, Water Resistant, 100 m, Scratch Resistant, Dust Proof, Heart Rate Monitor"
58,Noise NoiseFit Halo Smartwatch,"₹2,499",56,"Bluetooth 5.3, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
59,Noise ColorFit Caliber Go Smartwatch,₹799,,"Bluetooth, 1.69 inches Touch Display, Water Resistant, IP67, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 10 days Battery"
60,Fastrack MYND Smartwatch,"₹3,999",,"Bluetooth, Bluetooth Calling, 1.93 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
61,Fastrack Styler R1 Smartwatch,"₹3,999",,"Bluetooth 5.3, Bluetooth Calling, 1.38 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
62,Fastrack Styler FR1 Pro Smartwatch,"₹3,999",53,"Bluetooth 5.3, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
63,Noise NoiseFit Halo 2 Limited Edition Smartwatch,"₹4,499",51,"Bluetooth 5.3, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 7 days Battery"
64,Garmin Forerunner 570 Smartwatch (47mm),"₹66,990",,"Wi-Fi, Bluetooth 5.3, GPS, Bluetooth Calling, 8 GB Inbuilt, 1.2 inches Touch Display, Water Resistant, 50 m, 5 ATM, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
65,Garmin Forerunner 970 Smartwatch,"₹90,990",,"Wi-Fi, Bluetooth 5.3, GPS, Bluetooth Calling, 32 GB Inbuilt, 1.4 inches Touch Display, Water Resistant, 50 m, 5 ATM, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
66,Rogbid Model S Smartwatch,"₹9,699",,"Wi-Fi, Bluetooth 4.2, GPS, 3G, 4G, VoLTE, Voice Calling, 3 GB RAM, 32 GB Inbuilt, 2.4 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
67,Noise NoiseFit Twist 2 Smartwatch,"₹2,499",,"Bluetooth, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
68,Timex iConnect Calling Ace Plus Smartwatch,"₹2,747",,"Bluetooth 5.2, Bluetooth Calling, 640 KB RAM, 1.83 inches Touch Display, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, 7 days Battery"
69,PunnkFunnk Edge Lite Smartwatch,₹838,,"Bluetooth, Bluetooth Calling, 1.2 inches Touch Display, Water Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
70,Timex iConnect Arc Smartwatch,"₹2,747",,"Bluetooth 5.2, Bluetooth Calling, 270 KB RAM, 2.01 inches Touch Display, Water Resistant, 1 m, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
71,Samsung Galaxy Watch 8 Bluetooth 44mm,"₹35,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, Bluetooth Calling, 2 GB RAM, 32 GB Inbuilt, 1.47 inches Touch Display, Water Resistant, 100 m, 5ATM + IP68 / MIL-STD-810H, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor"
72,Samsung Galaxy Watch 8 LTE 40mm,"₹34,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 32 GB Inbuilt, 1.34 inches Touch Display, Water Resistant, 100 m, 5ATM + IP68 / MIL-STD-810H, Dust Proof, Heart Rate Monitor"
73,Samsung Galaxy Watch 8 LTE 44mm,"₹33,999",,"Wi-Fi, Bluetooth 5.3, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 32 GB Inbuilt, 1.47 inches Touch Display, Water Resistant, 100 m, 5ATM + IP68 / MIL-STD-810H, Dust Proof, Heart Rate Monitor"
74,Ai+ Wearbuds,"₹7,999",,"Bluetooth, Bluetooth Calling, Touch Display, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Step Count, Alarm Clock, Stopwatch, Reminder, Timer, Touch Screen"
75,Garmin Instinct 3 Solar Smartwatch 50mm,"₹52,990",67,"Bluetooth, GPS, 128 MB Inbuilt, 1.1 inches Touch Display, Water Resistant, 100 m, 10 ATM, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count, 1.31 months Battery"
76,Garmin Instinct 3 Smartwatch 50mm,"₹58,990",78,"Bluetooth, GPS, 4 GB Inbuilt, 1.3 inches Touch Display, Water Resistant, 100 m, 10 ATM, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count, 24 days Battery"
77,Amazfit Bip 5 Core Smartwatch,"₹5,999",50,"Bluetooth 5.2, Bluetooth Calling, 1.91 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 11 days Battery"
78,Pebble EVE Smartwatch,"₹3,499",,"Bluetooth 5.0, Bluetooth Calling, 1.43 inches Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Calorie Count, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
79,Pebble Gravity Smartwatch,"₹3,799",,"Bluetooth 5.3, Bluetooth Calling, 1.43 inches Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Calorie Count, Step Count"
80,Garmin Instinct 3 Smartwatch 50mm,"₹58,990",78,"Bluetooth, GPS, 4 GB Inbuilt, 1.3 inches Touch Display, Water Resistant, 100 m, 10 ATM, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Blood Pressure Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count, 24 days Battery"
81,Amazfit Bip 5 Core Smartwatch,"₹5,999",50,"Bluetooth 5.2, Bluetooth Calling, 1.91 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, 11 days Battery"
82,Pebble EVE Smartwatch,"₹3,499",,"Bluetooth 5.0, Bluetooth Calling, 1.43 inches Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Calorie Count, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
83,Pebble Gravity Smartwatch,"₹3,799",,"Bluetooth 5.3, Bluetooth Calling, 1.43 inches Display, Water Resistant, IP67, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Sleep Monitor, Calorie Count, Step Count"
84,Vivo Watch 5 LTE,"₹11,999",79,"Bluetooth 5.4, GPS, NFC, 4G, Bluetooth Calling, 4 GB RAM, 64 MB Inbuilt, 1.43 inches Touch Display, Water Resistant, 50 m, 5ATM, Dust Proof, Heart Rate Monitor"
85,Croma Squad CS Smartwatch,"₹1,599",52,"Bluetooth 5.3, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
86,Lava Prowatch Xtreme,"₹4,699",59,"Bluetooth 5.3, GPS, Bluetooth Calling, 1.43 inches Touch Display, Water Resistant, IP68, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count"
87,WatchOut Next Gen Plus Smartwatch,"₹4,749",,"GPS, 4G, Voice Calling, Touch Display, Water Resistant, IP68, Heart Rate Monitor, Blood Pressure Monitor, Pedometer, Step Count"
88,Honor Watch Fit Vitality Edition,"₹4,999",77,"Wi-Fi, Bluetooth 5.4, GPS, NFC, 3G, 4G, Bluetooth Calling, 1.32 inches Touch Display, Water Resistant, 50 m, IP68, Scratch Resistant, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
89,Nervfit Kinetic Pro 2 Smartwatch,"₹3,499",59,"Bluetooth, Bluetooth Calling, 256 MB Inbuilt, 1.43 inches Touch Display, Water Resistant, 30 m, 3 ATM, Dust Proof, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor"
90,Huawei Watch 5 (42mm),"₹31,999",,"Wi-Fi, Bluetooth 5.2, GPS, NFC, 3G, 4G, VoLTE, Voice Calling, 2 GB RAM, 16 GB Inbuilt, 1.38 inches Touch Display, Water Resistant, 50 m, IP69, Dust Proof, Heart Rate Monitor"
91,Fastrack Volt S1 Smart Watch,"₹2,995",,"Bluetooth 5.3, Bluetooth Calling, 1.83 inches Touch Display, Water Resistant, IP68, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
92,Noise NoiseFit Halo 2 MOD Smartwatch,"₹4,499",,"Bluetooth 5.0, Bluetooth Calling, 1.46 inches Touch Display, Water Resistant, IP67, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count, Alarm Clock, Stopwatch, Reminder, Timer"
93,Fire Boltt Ring X Smartwatch,"₹1,299",,"Bluetooth 5.3, Bluetooth Calling, 2.01 inches Touch Display, Water Resistant, IP68, Scratch Resistant, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Pedometer, Sleep Monitor, Calorie Count, Step Count"
94,Titan Maestro Smartwatch,"₹11,995",54,"Bluetooth, Bluetooth Calling, 1.42 inches Touch Display, Heart Rate Monitor, SpO2 (Blood Oxygen) Monitor, Altimeter, Pedometer, Sleep Monitor, Calorie Count, Step Count, 10 days Battery, Alarm Clock, Stopwatch, Reminder, Timer"
